,values,,,,,,,,,,,,,,,avg,,,,,SD,,,,
Time,50 킠,50 킠,50 킠,25 킠,25 킠,25 킠,12.5 킠,12.5 킠,12.5 킠,Pd,Pd,Pd,LB,LB,LB,50 킠,25 킠,12.5 킠,Pd,LB,50 킠,25 킠,12.5 킠,Pd,LB
58,0.698,0.667,0.631,0.697,0.92,0.661,0.636,0.81,0.817,0.839,0.897,0.685,0.095,0.095,0.096,0.665333333,0.759333333,0.754333333,0.807,0.095333333,0.03353108,0.140300867,0.102539423,0.109562767,0.00057735
59,0.689,0.649,0.603,0.659,0.942,0.758,0.627,0.784,0.808,0.832,0.886,0.661,0.095,0.095,0.096,0.647,0.786333333,0.739666667,0.793,0.095333333,0.04303487,0.143611745,0.098307341,0.117460632,0.00057735
60,0.681,0.636,0.585,0.636,0.965,1.132,0.598,0.742,0.793,0.801,0.888,0.643,0.095,0.095,0.096,0.634,0.911,0.711,0.777333333,0.095333333,0.04803124,0.252370759,0.101128631,0.124202791,0.00057735
61,0.672,0.63,0.561,0.618,1.074,0.76,0.58,0.76,0.807,0.792,0.876,0.618,0.096,0.095,0.096,0.621,0.817333333,0.715666667,0.762,0.095666667,0.056044625,0.233343809,0.119817917,0.131590273,0.00057735
62,0.651,0.635,0.549,0.639,1.166,0.732,0.557,0.722,0.775,0.785,0.861,0.599,0.095,0.095,0.096,0.611666667,0.845666667,0.684666667,0.748333333,0.095333333,0.054857391,0.281286924,0.113694034,0.134793669,0.00057735
63,0.651,0.646,0.542,0.605,1.207,0.702,0.571,0.773,0.788,0.775,0.854,0.581,0.095,0.095,0.096,0.613,0.838,0.710666667,0.736666667,0.095333333,0.061538606,0.323222833,0.121187183,0.140478943,0.00057735
64,0.628,0.607,0.477,0.582,1.202,0.663,0.558,0.76,0.77,0.777,0.849,0.573,0.095,0.095,0.096,0.570666667,0.815666667,0.696,0.733,0.095333333,0.081794458,0.337016815,0.119616052,0.143164241,0.00057735
65,0.637,0.562,0.51,0.765,1.219,0.64,0.568,0.834,0.754,0.763,0.833,0.569,0.095,0.095,0.096,0.569666667,0.874666667,0.718666667,0.721666667,0.095333333,0.063846169,0.304680707,0.136474662,0.136767443,0.00057735
66,0.584,0.557,0.525,0.73,1.26,0.607,0.596,0.733,0.759,0.774,0.827,0.565,0.095,0.095,0.096,0.555333333,0.865666667,0.696,0.722,0.095333333,0.02953529,0.346996158,0.087572827,0.138524366,0.00057735
67,0.594,0.542,0.486,0.707,1.271,0.577,0.633,0.688,0.783,0.773,0.822,0.559,0.095,0.095,0.096,0.540666667,0.851666667,0.701333333,0.718,0.095333333,0.054012344,0.368924563,0.075883683,0.139860645,0.00057735
68,0.579,0.523,0.478,0.695,1.279,0.549,0.682,0.661,0.737,0.764,0.797,0.551,0.096,0.095,0.096,0.526666667,0.841,0.693333333,0.704,0.095666667,0.050599736,0.386279691,0.039247081,0.133525279,0.00057735
69,0.572,0.51,0.461,0.651,1.272,0.515,0.711,0.625,0.771,0.767,0.793,0.547,0.095,0.095,0.096,0.514333333,0.812666667,0.702333333,0.702333333,0.095333333,0.055626732,0.403564534,0.07338483,0.1351493,0.00057735
70,0.562,0.527,0.444,0.59,1.277,0.486,0.731,0.603,0.756,0.751,0.78,0.54,0.096,0.095,0.096,0.511,0.784333333,0.696666667,0.690333333,0.095666667,0.06060528,0.429818954,0.082075169,0.130997455,0.00057735
71,0.533,0.517,0.467,0.562,1.252,0.471,0.721,0.569,0.716,0.744,0.786,0.534,0.096,0.095,0.096,0.505666667,0.761666667,0.668666667,0.688,0.095666667,0.03442867,0.427071813,0.086350063,0.135011111,0.00057735
72,1.008,0.534,0.457,0.545,1.271,0.464,0.737,0.558,0.668,0.741,0.766,0.53,0.095,0.095,0.096,0.666333333,0.76,0.654333333,0.679,0.095333333,0.298386215,0.444388344,0.090279197,0.129641814,0.00057735
73,0.547,0.502,0.444,0.534,1.195,0.48,0.752,0.532,0.646,0.723,0.754,0.524,0.095,0.095,0.096,0.497666667,0.736333333,0.643333333,0.667,0.095333333,0.05163655,0.398133562,0.11002424,0.124807852,0.00057735
74,0.487,0.5,0.426,0.539,1.155,0.46,0.781,0.511,0.641,0.717,0.745,0.512,0.095,0.095,0.096,0.471,0.718,0.644333333,0.658,0.095333333,0.039509493,0.38050887,0.135030861,0.127212421,0.00057735
75,0.479,0.486,0.409,0.524,1.078,0.425,0.827,0.514,0.643,0.704,0.729,0.504,0.095,0.095,0.096,0.458,0.675666667,0.661333333,0.645666667,0.095333333,0.042579338,0.351929444,0.157303316,0.123322072,0.00057735
76,0.523,0.467,0.401,0.523,1.085,0.459,0.846,0.482,0.617,0.685,0.719,0.493,0.096,0.095,0.096,0.463666667,0.689,0.648333333,0.632333333,0.095666667,0.061068268,0.344435771,0.184011775,0.121857841,0.00057735
77,0.611,0.463,0.406,0.491,0.998,0.462,0.869,0.524,0.634,0.669,0.71,0.475,0.096,0.095,0.096,0.493333333,0.650333333,0.675666667,0.618,0.095666667,0.105812728,0.301437113,0.176233746,0.12552689,0.00057735
78,0.431,0.481,0.407,0.464,0.874,0.496,0.889,0.619,0.608,0.668,0.686,0.462,0.095,0.095,0.096,0.439666667,0.611333333,0.705333333,0.605333333,0.095333333,0.037753587,0.228038009,0.159155061,0.12445615,0.00057735
79,0.496,0.469,0.395,0.486,0.822,0.505,0.901,0.616,0.592,0.641,0.68,0.455,0.095,0.095,0.096,0.453333333,0.604333333,0.703,0.592,0.095333333,0.052290853,0.188744095,0.171892408,0.120237265,0.00057735
80,0.433,0.485,0.381,0.497,0.651,0.54,0.911,0.58,0.591,0.627,0.658,0.442,0.096,0.095,0.095,0.433,0.562666667,0.694,0.575666667,0.095333333,0.052,0.07946278,0.188007979,0.116791838,0.00057735
81,0.609,0.435,0.37,0.506,0.635,0.523,0.9,0.592,0.569,0.606,0.646,0.429,0.095,0.095,0.096,0.471333333,0.554666667,0.687,0.560333333,0.095333333,0.12357319,0.07008804,0.184821536,0.115483043,0.00057735
82,0.522,0.441,0.361,0.494,0.602,0.504,0.921,0.581,0.571,0.596,0.638,0.413,0.096,0.095,0.096,0.441333333,0.533333333,0.691,0.549,0.095666667,0.080500518,0.059676908,0.199248588,0.119636951,0.00057735
83,0.587,0.439,0.366,0.472,0.674,0.472,0.923,0.566,0.533,0.573,0.62,0.398,0.095,0.095,0.095,0.464,0.539333333,0.674,0.530333333,0.095,0.112601066,0.116624754,0.216270664,0.116988603,1.69967E-17
84,0.567,0.451,0.354,0.457,0.669,0.45,0.897,0.574,0.517,0.558,0.61,0.381,0.095,0.095,0.095,0.457333333,0.525333333,0.662666667,0.516333333,0.095,0.106641143,0.124468202,0.204930069,0.120051378,1.69967E-17
